Date,Close,High,Low,Open,Volume,Daily % Change,30 day moving average of close
1997-05-15,0.09791699797,0.125,0.09635400027,0.121875003,1443120000,-19.66%,
1997-05-16,0.08645799756,0.09895800054,0.08541700244,0.09843800217,294000000,-12.17%,
1997-05-19,0.08541700244,0.08854199946,0.08124999702,0.08802100271,122136000,-2.96%,
1997-05-20,0.08177100122,0.08749999851,0.08177100122,0.08645799756,109344000,-5.42%,
1997-05-21,0.07135400176,0.08229199797,0.06875000149,0.08177100122,377064000,-12.74%,
1997-05-22,0.06979200244,0.07239600271,0.06562499702,0.07187499851,235536000,-2.90%,
1997-05-23,0.07500000298,0.07604199648,0.06666699797,0.07031299919,318744000,6.67%,
1997-05-27,0.07916700095,0.08229199797,0.07291699946,0.07552099973,173952000,4.83%,
1997-05-28,0.07656300068,0.08177100122,0.07656300068,0.08124999702,91488000,-5.77%,
1997-05-29,0.07525999844,0.07708299905,0.07395800203,0.07708299905,69456000,-2.36%,
1997-05-30,0.07500000298,0.07552099973,0.07395800203,0.07500000298,51888000,0.00%,
1997-06-02,0.07552099973,0.07656300068,0.07500000298,0.07552099973,11832000,0.00%,
1997-06-03,0.07395800203,0.07656300068,0.07395800203,0.07656300068,23664000,-3.40%,
1997-06-04,0.07083299756,0.07447899878,0.06979200244,0.07395800203,61608000,-4.23%,
1997-06-05,0.07708299905,0.07708299905,0.06875000149,0.07083299756,113448000,8.82%,
1997-06-06,0.08281300217,0.08541700244,0.07552099973,0.07578100264,156144000,9.28%,
1997-06-09,0.08437500149,0.08541700244,0.08281300217,0.08281300217,47040000,1.89%,
1997-06-10,0.07916700095,0.08541700244,0.07656300068,0.08541700244,109176000,-7.32%,
1997-06-11,0.07708299905,0.08020800352,0.07656300068,0.0796879977,23760000,-3.27%,
1997-06-12,0.08020800352,0.08229199797,0.07760400325,0.07916700095,32640000,1.31%,
1997-06-13,0.07916700095,0.08124999702,0.07916700095,0.08124999702,13872000,-2.56%,
1997-06-16,0.07864599675,0.08020800352,0.078125,0.08020800352,18264000,-1.95%,
1997-06-17,0.07525999844,0.07994800061,0.07474000007,0.07994800061,94128000,-5.86%,
1997-06-18,0.07552099973,0.07682300359,0.07500000298,0.07604199648,49296000,-0.69%,
1997-06-19,0.07552099973,0.07656300068,0.07500000298,0.07552099973,20064000,0.00%,
1997-06-20,0.07630199939,0.07760400325,0.07500000298,0.07656300068,67752000,-0.34%,
1997-06-23,0.07500000298,0.07708299905,0.07395800203,0.07708299905,20952000,-2.70%,
1997-06-24,0.07552099973,0.07630199939,0.07395800203,0.07525999844,15024000,0.35%,
1997-06-25,0.07552099973,0.07630199939,0.07447899878,0.07630199939,42120000,-1.02%,
1997-06-26,0.07552099973,0.07604199648,0.07525999844,0.07604199648,63792000,-0.69%,0.1073785
1997-06-27,0.07447899878,0.07578100264,0.07395800203,0.07578100264,23760000,-1.72%,0.1086805666
1997-06-30,0.07708299905,0.07994800061,0.07395800203,0.07552099973,54936000,2.07%,0.1100781334
1997-07-01,0.07578100264,0.07708299905,0.07552099973,0.07708299905,25848000,-1.69%,0.1111719
1997-07-02,0.07942699641,0.0796879977,0.07552099973,0.07578100264,77640000,4.81%,0.1123090665
1997-07-03,0.09557300061,0.09583300352,0.0796879977,0.07994800061,251544000,19.54%,0.1132552666
